id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Price,Retail,LogPrice,LogRetail
122,0.41,AGSL,SI2,J, ,63,FALSE,4.74x4.71x2.98,Very good,Russia,Radiant,Very good,55,2,730,1205,6.593044534,7.094234846
123,0.4,AGSL,SI2,H, ,63.5,FALSE,4.63x4.61x2.93,Very good,Botswana,Round,Good,58,1,730,1110,6.593044534,7.012115294
124,0.4,AGSL,SI1,J, ,62.3,FALSE,4.73x4.7x2.94,Very good,Botswana,Asscher,Very good,58,1,730,960,6.593044534,6.866933284
125,0.43,AGSL,VVS2,L, ,61.8,FALSE,4.85x4.83x2.99,Excellent,Botswana,Princess,Excellent,57,1,735,985,6.599870499,6.892641641
126,0.41,AGSL,SI2,I, ,62.8,FALSE,4.76x4.73x2.98,Excellent,DR Congo,Round,Excellent,56,1,735,1135,6.599870499,7.03438793
127,0.41,AGSL,SI2,I, ,61.7,FALSE,4.81x4.77x2.96,Excellent,Angola,Round,Excellent,56,1,735,1210,6.599870499,7.098375639
128,0.4,AGSL,SI1,J, ,61.2,FALSE,4.78x4.75x2.92,Excellent,Canada,Radiant,Excellent,59,1,740,1225,6.606650186,7.110696123
129,0.41,AGSL,SI2,J, ,61.7,FALSE,4.78x4.75x2.94,Very good,Angola,Oval,Excellent,58,1,740,1220,6.606650186,7.106606138
130,0.41,AGSL,SI1,J, ,61.2,FALSE,4.82x4.79x2.94,Excellent,Russia,Round,Very good,57,1,740,1220,6.606650186,7.106606138
131,0.4,AGSL,SI2,I, ,62.1,FALSE,4.68x4.67x2.9,Very good,DR Congo,Marquise,Good,56,1,635,1185,6.453624999,7.077498054
132,0.4,AGSL,SI1,J, ,64,TRUE,4.66x4.62x2.97,Very good,DR Congo,Round,Very good,58,1,740,95,6.606650186,4.553876892
133,0.45,AGSL,VVS1,K, ,62.7,FALSE,4.91x4.88x3.07,Very good,Russia,Round,Excellent,NA,1,745,1230,6.613384218,7.114769448
134,0.41,AGSL,SI1,J, ,NA,FALSE,4.76x4.73x2.97,Excellent,Angola,Emerald,Excellent,56,1,750,1235,6.620073207,7.118826249
135,0.4,AGSL,SI1,J, ,NA,FALSE,4.78x4.74x2.89,Very good,Canada,Emerald,Very good,NA,1,750,1240,6.620073207,7.122866659
136,0.43,AGSL,VVS2,K, ,61.4,FALSE,4.89x4.86x2.99,Very good,Botswana,ROUND,Very good,58,1,755,1050,6.626717749,6.956545443
137,0.4,AGSL,VVS2,J, ,64.5,FALSE,4.61x4.59x2.97,Excellent,Botswana,Radiant,Very good,58,1,755,950,6.626717749,6.856461985
138,0.42,AGSL,VVS1,K, ,NA,FALSE,4.81x4.79x2.98,Very good,South Africa,Round,Excellent,NA,1,755,1230,6.626717749,7.114769448
139,0.4,AGSL,SI2,G, ,59.9,FALSE,4.82x4.79x2.88,Excellent,DR Congo,Princess,Very good,NA,1,755,1160,6.626717749,7.056175284
140,0.5,AGSL,I1,J, ,61.2,FALSE,5.1x5.08x3.12,Excellent,South Africa,Round,Very good,56,1,755,1175,6.626717749,7.069023427
141,0.4,AGSL,SI2,I, ,60.3,FALSE,4.81x4.78x2.89,Very good,Russia,Round,Very good,57,1,760,985,6.633318433,6.892641641
142,0.42,AGSL,SI2,J, ,62.2,TRUE,4.79x4.78x2.98,Excellent,DR Congo,Round,Very good,61,1,760,110,6.633318433,4.700480366
143,0.4,AGSL,SI2,G, ,64.7,FALSE,4.58x4.6x2.97, ,Russia,Princess, ,55,1,765,1260,6.639875834,7.138867
144,0.4,AGSL,SI2,H, ,62.3,FALSE,4.73x4.71x2.94,Excellent,South Africa,Round,Very good,57,1,765,1060,6.639875834,6.966024187
145,0.4,AGSL,VVS2,J, ,62.3,FALSE,4.75x4.7x2.94,Excellent,Russia,Round,Excellent,57,1,765,780,6.639875834,6.65929392
146,0.41,AGSL,SI2,H, ,NA,FALSE,4.76x4.73x2.95,Very good,Botswana,Marquise,Very good,56,1,770,1260,6.646390515,7.138867
147,0.4,AGSL,VS2,J, ,62.4,FALSE,4.71x4.66x2.93,Excellent,Russia,Princess,Excellent,59,1,770,1270,6.646390515,7.146772179
148,0.5,AGSL,SI1,M, ,NA,FALSE,5.11x5.07x3.12,Very good,Russia,Radiant,Very good,NA,1,770,1270,6.646390515,7.146772179
149,0.41,AGSL,SI1,J, ,61.8,FALSE,4.79x4.76x2.95,Excellent,DR Congo,Round,Excellent,57,1,770,1145,6.646390515,7.043159916
150,0.4,AGSL,VS2,J, ,62.2,FALSE,4.73x4.71x2.94,Excellent,Russia,Round,Very good,NA,1,770,1270,6.646390515,7.146772179
151,0.4,AGSL,VS2,J, ,NA,FALSE,4.73x4.72x2.94,Excellent,Russia,Emerald,Excellent,NA,1,770,1270,6.646390515,7.146772179
152,0.42,AGSL,VVS1,K, ,NA,FALSE,4.84x4.82x2.96,Excellent,Russia,Princess,Very good,58,1,775,1280,6.652863029,7.154615357
153,0.4,AGSL,VVS2,J, ,63.4,FALSE,4.69x4.65x2.96,Very good,Australia,Round,Very good,58,1,775,1280,6.652863029,7.154615357
154,0.4,AGSL,SI1,J, ,NA,FALSE,4.8x4.76x2.9,Excellent,Canada,Round,Excellent,58,1,775,1275,6.652863029,7.150701458
155,0.4,AGSL,SI2,G, ,64.1,FALSE,4.66x4.62x2.97,Excellent,Russia,Round,Excellent,58,1,775,1280,6.652863029,7.154615357
156,0.41,AGSL,IF,K, ,NA,FALSE,4.76x4.73x2.95,Very good,Russia,Round,Very good,NA,1,780,1195,6.65929392,7.085901464
157,0.41,AGSL,SI1,J, ,NA,FALSE,4.76x4.73x2.96,Excellent,Australia,Round,Excellent,57,1,780,1285,6.65929392,7.158513997
158,0.41,AGSL,SI1,J, ,61.6,FALSE,4.81x4.79x2.96,Very good,South Africa,Round,Excellent,NA,1,780,1060,6.65929392,6.966024187
159,0.41,AGSL,SI1,J, ,61.7,FALSE,4.79x4.77x2.95,Excellent,South Africa,Round,Excellent,57,1,780,955,6.65929392,6.86171134
160,0.4,AGSL,SI1,I, ,63.5,FALSE,4.63x4.61x2.94,Excellent,Russia,Round,Very good,59,1,785,1295,6.665683718,7.166265974
161,0.51,AGSL,I1,J, ,61.7,FALSE,5.14x5.11x3.16,Very good,South Africa,Princess,Very good,57,1,785,1240,6.665683718,7.122866659
162,0.43,AGSL,SI1,J, ,NA,FALSE,4.83x4.81x2.98,Very good,Russia,Round,Excellent,59,1,785,1295,6.665683718,7.166265974
163,0.4,AGSL,SI2,F, ,63.4,FALSE,4.69x4.64x2.95,Very good,Russia,Princess,Very good,NA,1,785,1300,6.665683718,7.170119543
164,0.4,GemEx,VVS1,J, ,63.9,FALSE,4.68x4.65x2.99,Excellent,Russia,Princess,Very good,54,1,785,950,6.665683718,6.856461985
165,0.4,AGSL,SI1,I, ,63,FALSE,4.71x4.67x2.95,Excellent,Russia,Round,Excellent,57,1,785,1295,6.665683718,7.166265974
166,0.4,AGSL,SI2,F, ,64.5,FALSE,4.64x4.62x2.98,Very good,Australia,Round,Very good,57,1,785,1300,6.665683718,7.170119543
167,0.43,NA,SI2,J, ,59.1,FALSE,4.94x4.93x2.92,Excellent,Canada,Radiant,Excellent,60,1,570,955,6.345636361,6.86171134
168,0.42,AGSL,SI1,J, ,NA,FALSE,4.81x4.8x2.98,Excellent,Canada,Radiant,Excellent,NA,1,790,1300,6.672032945,7.170119543
169,0.41,AGSL,SI2,I, ,61.4,FALSE,4.75x4.74x2.92,Excellent,Angola,Round,Very good,60,1,790,1300,6.672032945,7.170119543
170,0.4,AGSL,SI2,I, ,63,FALSE,4.71x4.69x2.96,Excellent,Russia,Uncut,Very good,NA,1,395,395,5.978885765,5.978885765
171,0.41,AGSL,SI2,H, ,58.9,FALSE,4.88x4.86x2.87,Very good,DR Congo,Round,Excellent,59,1,795,1190,6.678342115,7.081708586
172,0.4,AGSL,SI2,I, ,62.6,FALSE,4.72x4.74x2.96, ,Russia,Round, ,56,1,800,1320,6.684611728,7.185387016
173,0.4,AGSL,SI2,E, ,62.7,FALSE,4.66x4.7x2.94, ,Botswana,Round, ,56,1,800,1025,6.684611728,6.932447892
174,0.4,AGSL,SI2,E, ,64.7,FALSE,4.55x4.59x2.95, ,Botswana,Round, ,NA,1,800,1280,6.684611728,7.154615357
175,0.4,AGSL,VS2,I, ,NA,FALSE,4.66x4.61x2.99,Very good,Botswana,Round,Very good,55,1,800,1165,6.684611728,7.060476366
176,0.4,NA,SI2,E, ,62.2,FALSE,4.72x4.74x2.94, ,Russia,Round, ,57,1,630,1080,6.445719819,6.98471632
177,0.4,AGSL,SI2,E, ,63.4,FALSE,4.62x4.64x2.94, ,Russia,Round, ,56,1,800,1320,6.684611728,7.185387016
178,0.4,NA,SI2,E, ,63.2,FALSE,4.65x4.69x2.95, ,Canada,Cushion, ,57,1,720,1220,6.579251212,7.106606138
